"","PROVINCE","urban","age","gender","I1_3_1","party","army","sec_lan","f_b_hukou","f_n_hukou","m_b_hukou","m_n_hukou","b_hukou","n_hukou","local_hukou","migrant_hukou","cungaiju","u_w_m","u_c_m","r_m","p_m","uint_add_m","br_m","bus_m","I1_20_1","I1_20_2","n_r_o_i","I1_20_4","I1_20_5","I1_21","I1_22_1","I1_22_2","I1_22_3","tech_edu","I2_10","work_exp","I3a1_1","I3a1_2","I3a1_5","I3a1_9","I3a1_14","I3a1_16_1","I3a1_16_2","I3a1_16_3","I3a1_19_1","I3a1_19_2","I3a1_19_3","I3a1_20_1","I3a1_20_2","I3a1_20_3","I3a1_20_4","I3a1_20_5","I3a1_20_7","I3a1_20_8","I3a1_20_9","I3a1_21","I3a2_1","friend","psychofriend","discussfriend","moneyfriend","memberelect","happy","happycp","I7_7_1","I7_7_2","I7_9","soccls","b_soccls","I7_10_3_1","t_soccls","soctrs","I9_1","I9_2","arm","health","I9_5","I9_6","ill","I9_8","I9_9","I9_10","I9_11","I9_12","I9_14","interviewway","reject","impat","itviewer_trust","fudge","colla","rely","lang","sinitviewer","look","sinitviewee","rtype_u","belief","edu","fedu","medu","jobmean","dinner","socresp","localsc","comlk","plan","u","d"
"1",440000,0,27,0,440000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,4,4,1,3,3,7,7,9,6,3,150,92,155,2,1,1,0,0,2,2,3,0,0,1,4,3,3,3,3,3,2,1,7,0,1,0,2,1,1,-0.94632351398468,0.144271776080132,0.239654049277306,1,-0.0981605499982834,1,0.000148745501064695,1
"2",360000,1,50,0,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,4,4,4,2,3,4,6,4,7,4,3,156,112,156,1,1,1,0,0,0,2,3,0,0,1,4,4,3,4,4,3,1,1,7,0,1,0,3,1,1,NA,-0.466511011123657,0.934704720973969,1,0.66414999961853,8,0.000242213369347155,1
"3",340000,0,45,1,340000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,2,3,3,1,2,3,3,3,NA,NA,NA,NA,NA,1,NA,5,2,2,2,4,4,4,2,4,2,3,2,5,2,3,168,142,167,3,3,1,1,0,0,3,3,1,0,1,4,4,3,4,3,3,1,1,6,1,1,0,NA,1,1,0.180414721369743,-0.922452747821808,-1.12658035755157,0,-0.198245003819466,2,0.000336434866767377,1
"4",420000,0,59,1,420000,0,0,0,1,4,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,3,4,1,5,4,5,5,5,1,3,170,130,167,2,1,1,0,0,NA,2,2,1,1,1,4,3,4,2,4,3,1,1,5,1,1,0,1,2,1,0.78997415304184,-0.922452747821808,0.239654049277306,1,-0.578151047229767,8,0.000432350992923602,1
"5",5e+05,1,54,0,5e+05,0,0,0,1,4,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,5,5,1,4,4,5,4,8,2,3,154,115,148,3,1,1,0,0,0,2,2,0,0,1,4,4,4,4,4,4,2,0,7,0,0,0,3,1,1,0.78997415304184,0.376478165388107,0.239654049277306,1,0.281745463609695,1,0.000536665378604084,1
"6",510000,0,40,1,510000,0,0,0,1,4,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,3,1,1,1,3,3,3,1,5,1,3,172,130,172,2,2,2,0,0,30,3,3,1,1,1,4,4,4,4,4,4,2,1,6,1,1,0,1,1,1,-0.803331911563873,1.21099627017975,-1.91544628143311,0,0.186658024787903,2,0.000680968689266592,1
"7",140000,1,64,0,370000,0,0,0,1,4,1,4,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,6,6,1,5,4,6,4,7,6,3,155,100,155,3,3,3,1,0,NA,3,2,0,0,1,4,4,4,4,4,4,1,0,9,0,0,0,2,2,1,1.79561054706573,1.21099627017975,0.239654049277306,1,0.281745463609695,10,0.000768791069276631,1
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0.000879827537573874,1
"9",620000,0,23,0,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,6,6,2,3,5,5,5,8,5,2,168,110,148,2,2,3,0,1,0,3,2,0,0,1,4,4,4,4,4,4,1,1,6,1,0,0,3,2,1,-0.612743198871613,1.33246529102325,-1.22039556503296,1,-0.0931635424494743,1,0.000993763445876539,1
"10",620000,0,19,1,620000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,3,6,6,1,3,3,6,2,10,4,2,171,120,170,2,3,1,0,1,0,3,3,0,0,1,4,4,3,3,3,3,1,1,NA,0,0,0,3,3,1,NA,NA,-2.68044519424438,1,-0.578151047229767,2,0.00115704676136374,1
"11",320000,0,61,0,340000,0,0,0,4,4,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,4,3,2,1,1,1,1,3,166,130,166,4,2,2,0,0,0,2,2,0,0,1,4,4,3,3,3,3,1,1,3,0,1,0,1,1,1,0.607882559299469,-0.922452747821808,0.239654049277306,1,-1.24037706851959,8,0.00122734240721911,1
"12",360000,1,43,1,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,3,3,3,3,3,3,3,3,3,2,165,126,165,3,3,3,0,0,0,2,2,0,1,1,4,3,3,3,3,3,3,1,5,0,1,0,3,1,1,-0.94632351398468,-0.922452747821808,-1.24426257610321,0,1.90645098686218,8,0.00136524578556418,1
"13",440000,1,50,0,440000,0,0,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,3,5,5,1,3,3,5,5,7,4,3,156,150,150,2,1,1,0,0,0,3,3,0,0,1,4,2,3,2,3,3,1,1,6,0,1,0,3,1,1,-0.30919349193573,NA,0.239654049277306,1,-1.33796310424805,8,0.00139968888834119,1
"14",110000,1,49,0,110000,0,0,0,4,4,4,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,NA,NA,NA,4,4,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,3,2,2,3,1,5,5,NA,NA,3,0,0,0,0,3,158,108,160,3,1,1,1,0,0,2,2,0,0,1,4,4,3,4,4,4,1,0,NA,1,1,0,3,1,1,NA,NA,NA,0,-0.0981605499982834,7,0.00140449439641088,1
"15",320000,0,51,0,320000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,4,6,5,2,3,4,8,6,8,3,3,153,106,150,2,1,1,0,0,0,5,2,0,0,1,4,4,3,3,3,3,1,0,6,0,1,0,2,1,1,-0.505819320678711,-0.922452747821808,0.239654049277306,1,1.52654492855072,8,0.00146367191337049,1
"16",130000,1,47,1,130000,0,0,0,2,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,3,2,1,5,4,0,7,0,6,3,170,150,160,3,5,1,0,0,0,2,3,1,0,1,4,4,4,4,4,4,2,1,4,1,1,0,1,NA,2,-0.362827777862549,-0.112157203257084,-0.525344908237457,1,-0.478066563606262,1,0.00158496876247227,1
"17",440000,0,52,1,440000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,3,3,4,4,2,5,5,6,1,3,175,151,173,3,1,4,0,0,0,3,2,1,1,1,4,4,3,3,3,3,2,1,8,0,1,1,1,2,1,-0.888365983963013,2.61047458648682,-0.549211859703064,1,-0.675736963748932,2,0.00184727006126195,1
